,model,metric,score,trees
0,M2b,AUC,0.9982125403387014,100
1,M2b,ACC,0.9831018518518518,100
2,M2b,F1,0.9843246725359673,100
3,M2b,AUC,0.9979426903015182,10
4,M2b,ACC,0.9819444444444444,10
5,M2b,F1,0.9832438238453277,10
6,M2b,AUC,0.9982073996954932,200
7,M2b,ACC,0.9835648148148148,200
8,M2b,F1,0.98475740661228,200
9,M2b,AUC,0.9980854949411955,20
10,M2b,ACC,0.9824074074074074,20
11,M2b,F1,0.9836752228546881,20
12,M2b,AUC,0.9981692429002353,50
13,M2b,ACC,0.9830439814814815,50
14,M2b,F1,0.9842768983096324,50
15,M2b,AUC,0.9976727188318181,5
16,M2b,ACC,0.9808449074074074,5
17,M2b,F1,0.9822148191929504,5
18,M1b,AUC,0.9981639673320084,100
19,M1b,ACC,0.9832175925925926,100
20,M1b,F1,0.9844337090713903,100
21,M1b,AUC,0.9978435811291116,10
22,M1b,ACC,0.9820601851851852,10
23,M1b,F1,0.983360171765969,10
24,M1b,AUC,0.9981755573911055,200
25,M1b,ACC,0.9836805555555556,200
26,M1b,F1,0.9848582474226805,200
27,M1b,AUC,0.998076448218699,20
28,M1b,ACC,0.9825231481481481,20
29,M1b,F1,0.983791326749678,20
30,M1b,AUC,0.9981054436051943,50
31,M1b,ACC,0.9826388888888888,50
32,M1b,F1,0.9838952115095556,50
33,M1b,AUC,0.9974591999898968,5
34,M1b,ACC,0.9796875,5
35,M1b,F1,0.981121927607164,5
36,M2s,AUC,0.9949065240762189,100
37,M2s,ACC,0.9714529914529915,100
38,M2s,F1,0.9737021678652039,100
39,M2s,AUC,0.9943143991006559,10
40,M2s,ACC,0.9688888888888889,10
41,M2s,F1,0.9712933753943218,10
42,M2s,AUC,0.9950048939331274,200
43,M2s,ACC,0.9714529914529915,200
44,M2s,F1,0.9736883567039546,200
45,M2s,AUC,0.994546806074175,20
46,M2s,ACC,0.9703703703703703,20
47,M2s,F1,0.9726919441235166,20
48,M2s,AUC,0.9948521259383041,50
49,M2s,ACC,0.9708831908831909,50
50,M2s,F1,0.9731688107114728,50
51,M2s,AUC,0.9935553138879311,5
52,M2s,ACC,0.9681481481481482,5
53,M2s,F1,0.9705959707537741,5
54,M1s,AUC,0.9949038519789075,100
55,M1s,ACC,0.9713960113960114,100
56,M1s,F1,0.9736427596345689,100
57,M1s,AUC,0.9944366344541407,10
58,M1s,ACC,0.9691737891737892,10
59,M1s,F1,0.9715726971782881,10
60,M1s,AUC,0.9949866869955639,200
61,M1s,ACC,0.9717948717948718,200
62,M1s,F1,0.974014383957163,200
63,M1s,AUC,0.9947423407244986,20
64,M1s,ACC,0.9707122507122508,20
65,M1s,F1,0.9730212051228219,20
66,M1s,AUC,0.9949114098227738,50
67,M1s,ACC,0.9717948717948718,50
68,M1s,F1,0.9740334679746104,50
69,M1s,AUC,0.9936576787922907,5
70,M1s,ACC,0.9682621082621082,5
71,M1s,F1,0.9707073363134369,5
